Place,Competitor,DOB,Nat,Score,Event List,Age,Thrower Class,Gender
1,Anderson PETERS,21 OCT 1997,GRN,1461,Javelin Throw,25.0,1st Class,Male
2,Neeraj CHOPRA,24 DEC 1997,IND,1455,Javelin Throw,25.0,1st Class,Male
3,Jakub VADLEJCH,10 OCT 1990,CZE,1428,Javelin Throw,32.0,1st Class,Male
4,Julian WEBER,29 AUG 1994,GER,1385,Javelin Throw,28.0,1st Class,Male
5,Arshad NADEEM,02 JAN 1997,PAK,1306,Javelin Throw,26.0,1st Class,Male
6,Keshorn WALCOTT,02 APR 1993,TTO,1298,Javelin Throw,30.0,1st Class,Male
7,Curtis THOMPSON,08 FEB 1996,USA,1289,Javelin Throw,27.0,1st Class,Male
8,Oliver HELANDER,01 JAN 1997,FIN,1280,Javelin Throw,26.0,1st Class,Male
9,Andrian MARDARE,20 JUN 1995,MDA,1277,Javelin Throw,27.0,1st Class,Male
10,Lassi ETELÄTALO,30 APR 1988,FIN,1267,Javelin Throw,35.0,1st Class,Male
11,Vítězslav VESELÝ,27 FEB 1983,CZE,1233,Javelin Throw,40.0,1st Class,Male
12,Patriks GAILUMS,10 MAY 1998,LAT,1223,Javelin Throw,25.0,1st Class,Male
13,Roderick Genki DEAN,30 DEC 1991,JPN,1217,Javelin Throw,31.0,1st Class,Male
14,Leandro RAMOS,21 SEP 2000,POR,1199,Javelin Throw,22.0,1st Class,Male
15,Rohit YADAV,06 JUN 2001,IND,1195,Javelin Throw,21.0,1st Class,Male
16,Ethan DABBS,23 JUN 1999,USA,1187,Javelin Throw,23.0,1st Class,Male
17,D.P MANU,24 JAN 2000,IND,1185,Javelin Throw,23.0,1st Class,Male
18,Cameron MCENTYRE,10 FEB 1999,AUS,1184,Javelin Throw,24.0,1st Class,Male
19,Aliaksei KATKAVETS,07 JUN 1998,BLR,1184,Javelin Throw,24.0,1st Class,Male
20,Toni KERÄNEN,16 JUN 1998,FIN,1182,Javelin Throw,24.0,1st Class,Male
21,Andreas HOFMANN,16 DEC 1991,GER,1180,Javelin Throw,31.0,1st Class,Male
22,Manu QUIJERA,13 JAN 1998,ESP,1180,Javelin Throw,25.0,1st Class,Male
23,Toni KUUSELA,21 JAN 1994,FIN,1176,Javelin Throw,29.0,1st Class,Male
24,Rolands ŠTROBINDERS,14 APR 1992,LAT,1171,Javelin Throw,31.0,1st Class,Male
25,Felise VAHAI SOSAIA,30 JUL 1999,FRA,1165,Javelin Throw,23.0,1st Class,Male
26,Artur FELFNER,17 OCT 2003,UKR,1164,Javelin Throw,19.0,1st Class,Male
27,Luiz Mauricio DA SILVA,17 JAN 2000,BRA,1159,Javelin Throw,23.0,1st Class,Male
