Place,Competitor,DOB,Nat,Score,Event List,Age,Thrower Class,Gender
1,Kara WINGER,10 APR 1986,USA,1382,Javelin Throw,37.0,1st Class,Female
2,Kelsey-Lee BARBER,20 SEP 1991,AUS,1367,Javelin Throw,31.0,1st Class,Female
3,Haruka KITAGUCHI,16 MAR 1998,JPN,1357,Javelin Throw,25.0,1st Class,Female
4,Mackenzie LITTLE,22 DEC 1996,AUS,1294,Javelin Throw,26.0,1st Class,Female
5,Elina TZENGKO,02 SEP 2002,GRE,1269,Javelin Throw,20.0,1st Class,Female
6,Līna MŪZE,04 DEC 1992,LAT,1254,Javelin Throw,30.0,1st Class,Female
7,Liveta JASIŪNAITĖ,26 JUL 1994,LTU,1228,Javelin Throw,28.0,1st Class,Female
8,Barbora ŠPOTÁKOVÁ,30 JUN 1981,CZE,1225,Javelin Throw,41.0,1st Class,Female
9,Adriana VILAGOŠ,02 JAN 2004,SRB,1223,Javelin Throw,19.0,1st Class,Female
10,Annu RANI,29 AUG 1992,IND,1209,Javelin Throw,30.0,1st Class,Female
11,Nikola OGRODNÍKOVÁ,18 AUG 1990,CZE,1208,Javelin Throw,32.0,1st Class,Female
12,Elizabeth GLEADLE,05 DEC 1988,CAN,1207,Javelin Throw,34.0,1st Class,Female
13,Tatsiana KHALADOVICH,21 JUN 1991,BLR,1195,Javelin Throw,31.0,1st Class,Female
14,Yulenmis AGUILAR,03 AUG 1996,CUB,1184,Javelin Throw,26.0,1st Class,Female
15,Shiying LIU,24 SEP 1993,CHN,1177,Javelin Throw,29.0,1st Class,Female
16,Flor Denis RUIZ HURTADO,29 JAN 1991,COL,1177,Javelin Throw,32.0,1st Class,Female
17,Tori PEETERS,17 MAY 1994,NZL,1172,Javelin Throw,28.0,1st Class,Female
18,Jo-Ane VAN DYK,03 OCT 1997,RSA,1167,Javelin Throw,25.0,1st Class,Female
19,Christin HUSSONG,17 MAR 1994,GER,1167,Javelin Throw,29.0,1st Class,Female
20,Ariana INCE,14 MAR 1989,USA,1166,Javelin Throw,34.0,1st Class,Female
21,Jucilene Sales DE LIMA,14 SEP 1990,BRA,1160,Javelin Throw,32.0,1st Class,Female
22,Sara KOLAK,22 JUN 1995,CRO,1151,Javelin Throw,27.0,1st Class,Female
23,Juleisy ANGULO,02 JAN 2001,ECU,1150,Javelin Throw,22.0,1st Class,Female
24,Réka SZILÁGYI,19 JAN 1996,HUN,1145,Javelin Throw,27.0,1st Class,Female
25,Victoria HUDSON,28 MAY 1996,AUT,1138,Javelin Throw,26.0,1st Class,Female
26,Sae TAKEMOTO,23 NOV 1999,JPN,1133,Javelin Throw,23.0,1st Class,Female
27,Coralys ORTIZ,16 APR 1985,PUR,1129,Javelin Throw,38.0,1st Class,Female
28,Annika Marie FUCHS,29 APR 1997,GER,1127,Javelin Throw,26.0,1st Class,Female
29,Marina SAITO,15 OCT 1995,JPN,1125,Javelin Throw,27.0,1st Class,Female
30,Nikol TABAČKOVÁ,24 JAN 1998,CZE,1124,Javelin Throw,25.0,1st Class,Female
31,Vera MARKARYAN,25 FEB 1989,RUS,1105,Javelin Throw,34.0,1st Class,Female
32,Martina RATEJ,02 NOV 1981,SLO,1102,Javelin Throw,41.0,1st Class,Female
33,Momone UEDA,27 JUN 1999,JPN,1101,Javelin Throw,23.0,1st Class,Female
34,Mahiro OSA,26 NOV 1999,JPN,1100,Javelin Throw,23.0,1st Class,Female
35,Madara PALAMEIKA,18 JUN 1987,LAT,1100,Javelin Throw,35.0,1st Class,Female
36,Rhema OTABOR,03 DEC 2002,BAH,1099,Javelin Throw,20.0,1st Class,Female
37,Marija VUČENOVIĆ,03 APR 1993,SRB,1095,Javelin Throw,30.0,1st Class,Female
38,Viktoryia BAHUTSKAYA,18 JAN 1995,BLR,1093,Javelin Throw,28.0,1st Class,Female
39,Lea WIPPER,14 OCT 2001,GER,1087,Javelin Throw,21.0,1st Class,Female
40,Eda TUĞSUZ,27 MAR 1997,TUR,1081,Javelin Throw,26.0,1st Class,Female
41,Alizée MINARD,06 MAY 1997,FRA,1077,Javelin Throw,26.0,1st Class,Female
42,Yiselena BALLAR ROJAS,12 JAN 2003,CUB,1077,Javelin Throw,20.0,1st Class,Female
43,Jana Marie LOWKA,13 DEC 2000,GER,1070,Javelin Throw,22.0,1st Class,Female
44,Hanna HATSKO,03 OCT 1990,UKR,1069,Javelin Throw,32.0,1st Class,Female
45,Kathryn MITCHELL,10 JUL 1982,AUS,1064,Javelin Throw,40.0,1st Class,Female
46,Gedly TUGI,11 SEP 2001,EST,1063,Javelin Throw,21.0,1st Class,Female
48,Arantza MORENO,16 JAN 1995,ESP,1057,Javelin Throw,28.0,1st Class,Female
49,Lijuan GE,17 JUL 1997,CHN,1055,Javelin Throw,25.0,1st Class,Female
50,Sanne ERKKOLA,08 MAR 1994,FIN,1054,Javelin Throw,29.0,1st Class,Female
51,Martina PÍŠOVÁ,20 JUL 1994,CZE,1053,Javelin Throw,28.0,1st Class,Female
52,Yiset Magali JIMENEZ,19 APR 2000,COL,1051,Javelin Throw,23.0,1st Class,Female
53,Sara JEMAI,12 APR 1992,ITA,1050,Javelin Throw,31.0,1st Class,Female
54,Fanni KÖVÉR,15 FEB 2004,HUN,1050,Javelin Throw,19.0,1st Class,Female
55,Esra TÜRKMEN,20 JAN 2002,TUR,1049,Javelin Throw,21.0,1st Class,Female
56,Kihou KUZE,28 MAR 1995,JPN,1048,Javelin Throw,28.0,1st Class,Female
57,Momoko TSUJI,05 DEC 2003,JPN,1044,Javelin Throw,19.0,1st Class,Female
58,Bekah WALTON,20 SEP 1999,GBR,1043,Javelin Throw,23.0,1st Class,Female
59,Veronika ŠOKOTA,09 MAR 2004,CRO,1042,Javelin Throw,19.0,1st Class,Female
60,Luz Mariana CASTRO,23 JAN 1997,MEX,1040,Javelin Throw,26.0,1st Class,Female
61,Madison WILTROUT,04 JUN 1999,USA,1038,Javelin Throw,23.0,1st Class,Female
62,Shilpa RANI,15 JUN 1996,IND,1036,Javelin Throw,26.0,1st Class,Female
63,Dana BERGRATH,24 APR 1994,GER,1036,Javelin Throw,29.0,1st Class,Female
64,Petra ANDREJSKOVÁ,25 JUN 1992,CZE,1036,Javelin Throw,30.0,1st Class,Female
65,Reina KIMURA,07 SEP 2001,JPN,1035,Javelin Throw,21.0,1st Class,Female
66,Angéla MORAVCSIK,13 MAY 1996,HUN,1035,Javelin Throw,27.0,1st Class,Female
67,Manuela ROTUNDO,19 JUL 2004,URU,1033,Javelin Throw,18.0,1st Class,Female
68,Valentina BARRIOS,02 DEC 2003,COL,1032,Javelin Throw,19.0,1st Class,Female
69,Carolina VISCA,31 MAY 2000,ITA,1030,Javelin Throw,22.0,1st Class,Female
70,Mckyla VAN DER WESTHUIZEN,11 MAR 2004,RSA,1029,Javelin Throw,19.0,1st Class,Female
71,Christine WINKLER,04 MAY 1995,GER,1028,Javelin Throw,28.0,1st Class,Female
72,Ashton RINER,24 FEB 1999,USA,1027,Javelin Throw,24.0,1st Class,Female
73,Xinjie GU,02 FEB 2001,CHN,1027,Javelin Throw,22.0,1st Class,Female
74,Hanna KALINOUSKAYA,19 AUG 1999,BLR,1024,Javelin Throw,23.0,1st Class,Female
75,Julia VALTANEN,06 MAY 2001,FIN,1022,Javelin Throw,22.0,1st Class,Female
76,Yuka SATO,21 JUL 1992,JPN,1016,Javelin Throw,30.0,1st Class,Female
77,Anni-Linnea ALANEN,11 NOV 2002,FIN,1012,Javelin Throw,20.0,1st Class,Female
78,Jenni KANGAS,03 JUL 1992,FIN,1009,Javelin Throw,30.0,1st Class,Female
79,Gyeongae KIM,05 MAR 1988,KOR,1007,Javelin Throw,35.0,1st Class,Female
80,Xiaomei SUN,02 DEC 1996,CHN,1004,Javelin Throw,26.0,1st Class,Female
81,Lianna DAVIDSON,08 NOV 2002,AUS,1004,Javelin Throw,20.0,1st Class,Female
82,Ella VEDENEYEVA,30 NOV 1998,RUS,1000,Javelin Throw,24.0,1st Class,Female
83,Adjimon Pascaline ADANHOEGBE,19 OCT 1995,ITA,1000,Javelin Throw,27.0,1st Class,Female
84,Valeriya PUTILINA,23 APR 2002,RUS,1000,Javelin Throw,21.0,1st Class,Female
