Place,Competitor,DOB,Nat,Score,Event List
1,Anderson PETERS,21 OCT 1997,GRN,1461,Javelin Throw
2,Neeraj CHOPRA,24 DEC 1997,IND,1455,Javelin Throw
3,Jakub VADLEJCH,10 OCT 1990,CZE,1428,Javelin Throw
4,Julian WEBER,29 AUG 1994,GER,1385,Javelin Throw
5,Arshad NADEEM,02 JAN 1997,PAK,1306,Javelin Throw
6,Keshorn WALCOTT,02 APR 1993,TTO,1298,Javelin Throw
7,Curtis THOMPSON,08 FEB 1996,USA,1289,Javelin Throw
8,Oliver HELANDER,01 JAN 1997,FIN,1280,Javelin Throw
9,Andrian MARDARE,20 JUN 1995,MDA,1277,Javelin Throw
10,Lassi ETELÄTALO,30 APR 1988,FIN,1267,Javelin Throw
11,Vítězslav VESELÝ,27 FEB 1983,CZE,1233,Javelin Throw
12,Patriks GAILUMS,10 MAY 1998,LAT,1223,Javelin Throw
13,Roderick Genki DEAN,30 DEC 1991,JPN,1217,Javelin Throw
14,Leandro RAMOS,21 SEP 2000,POR,1199,Javelin Throw
15,Rohit YADAV,06 JUN 2001,IND,1195,Javelin Throw
16,Ethan DABBS,23 JUN 1999,USA,1187,Javelin Throw
17,D.P MANU,24 JAN 2000,IND,1185,Javelin Throw
18,Cameron MCENTYRE,10 FEB 1999,AUS,1184,Javelin Throw
19,Aliaksei KATKAVETS,07 JUN 1998,BLR,1184,Javelin Throw
20,Toni KERÄNEN,16 JUN 1998,FIN,1182,Javelin Throw
21,Andreas HOFMANN,16 DEC 1991,GER,1180,Javelin Throw
22,Manu QUIJERA,13 JAN 1998,ESP,1180,Javelin Throw
23,Toni KUUSELA,21 JAN 1994,FIN,1176,Javelin Throw
24,Rolands ŠTROBINDERS,14 APR 1992,LAT,1171,Javelin Throw
25,Felise VAHAI SOSAIA,30 JUL 1999,FRA,1165,Javelin Throw
26,Artur FELFNER,17 OCT 2003,UKR,1164,Javelin Throw
27,Luiz Mauricio DA SILVA,17 JAN 2000,BRA,1159,Javelin Throw
28,Boris BEZDOLNIY,01 APR 1997,RUS,1155,Javelin Throw
29,Douw SMIT,12 MAY 1999,RSA,1153,Javelin Throw
30,Alexandru Mihaita NOVAC,24 MAR 1997,ROU,1149,Javelin Throw
31,Gatis ČAKŠS,13 JUN 1995,LAT,1144,Javelin Throw
32,Tim GLOVER,01 NOV 1990,USA,1142,Javelin Throw
33,Pedro Henrique RODRIGUES,18 JUN 1999,BRA,1141,Javelin Throw
34,Kenji OGURA,08 JUN 1995,JPN,1139,Javelin Throw
35,Kim AMB,31 JUL 1990,SWE,1136,Javelin Throw
36,Marc Anthony MINICHELLO,06 APR 2000,USA,1136,Javelin Throw
37,Ryohei ARAI,23 JUN 1991,JPN,1134,Javelin Throw
38,Capers WILLIAMSON,13 OCT 1992,USA,1132,Javelin Throw
39,David CARREON,23 MAR 1994,MEX,1131,Javelin Throw
40,Chinecherem NNAMDI,12 JUL 2002,NGR,1126,Javelin Throw
41,Jakob SAMUELSSON,19 FEB 1998,SWE,1126,Javelin Throw
42,Donavon BANKS,15 APR 1997,USA,1125,Javelin Throw
43,Yuta SAKIYAMA,05 APR 1996,JPN,1120,Javelin Throw
44,Timothy HERMAN,19 OCT 1990,BEL,1120,Javelin Throw
45,Cruz HOGAN,22 FEB 1994,AUS,1116,Javelin Throw
